epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,414.01,0.71698,0.6949,0.99495,0.56424,0.38959,0.44176,0.25788,1.66738,2.27373,1.82788,0.000876275,0.000876275,0.000876275
153,416.688,0.72035,0.70252,1.00068,0.64187,0.37639,0.46138,0.25811,1.65066,2.29786,1.81897,0.0008738,0.0008738,0.0008738
154,419.379,0.6828,0.68668,0.98906,0.62454,0.45306,0.47378,0.27028,1.58435,2.19772,1.77614,0.000871325,0.000871325,0.000871325
155,422.023,0.7207,0.73415,0.98574,0.70376,0.4514,0.49111,0.29901,1.54675,2.02526,1.73416,0.00086885,0.00086885,0.00086885
156,424.682,0.74491,0.82967,1.02591,0.71371,0.50634,0.53981,0.32313,1.44135,1.79624,1.64549,0.000866375,0.000866375,0.000866375
157,427.439,0.68631,0.70018,0.98904,0.68846,0.50147,0.5236,0.31938,1.40693,1.80545,1.62691,0.0008639,0.0008639,0.0008639
158,430.102,0.67948,0.63804,0.96516,0.62791,0.4721,0.51568,0.32222,1.4394,1.9465,1.6518,0.000861425,0.000861425,0.000861425
159,432.769,0.6853,0.6659,0.9605,0.57806,0.50755,0.50775,0.31464,1.46404,2.02308,1.66347,0.00085895,0.00085895,0.00085895
160,435.407,0.68752,0.69355,0.99648,0.61632,0.42926,0.50714,0.30305,1.51589,2.13163,1.67394,0.000856475,0.000856475,0.000856475
161,438.06,0.66176,0.69819,0.9673,0.67893,0.37461,0.49036,0.27318,1.56414,2.1456,1.71976,0.000854,0.000854,0.000854
162,440.724,0.61719,0.65318,0.96055,0.5614,0.42144,0.45857,0.26879,1.57711,2.15275,1.73267,0.000851525,0.000851525,0.000851525
163,443.489,0.66936,0.66076,0.97039,0.49732,0.41723,0.44845,0.27021,1.58711,2.13036,1.75946,0.00084905,0.00084905,0.00084905
164,446.136,0.66283,0.66249,0.95748,0.53309,0.41001,0.4549,0.27923,1.54906,2.06659,1.73166,0.000846575,0.000846575,0.000846575
165,448.791,0.68514,0.67523,0.97658,0.53982,0.41553,0.44476,0.26991,1.5384,2.09111,1.73242,0.0008441,0.0008441,0.0008441
166,451.466,0.57799,0.82098,0.94751,0.41746,0.45206,0.39921,0.24845,1.57448,2.22918,1.75334,0.000841625,0.000841625,0.000841625
167,454.143,0.65425,0.78592,0.97963,0.4591,0.39795,0.40532,0.25391,1.59382,2.21446,1.74882,0.00083915,0.00083915,0.00083915
168,456.796,0.6586,0.72704,0.96588,0.50507,0.38176,0.40603,0.25347,1.61749,2.12778,1.7521,0.000836675,0.000836675,0.000836675
169,459.464,0.78857,0.72483,1.0469,0.49822,0.38834,0.40465,0.24553,1.58135,2.14386,1.73196,0.0008342,0.0008342,0.0008342
170,462.133,0.64982,0.65421,1.00713,0.45502,0.39592,0.40236,0.24226,1.59137,2.08888,1.75379,0.000831725,0.000831725,0.000831725
171,464.781,0.6716,0.66243,0.95908,0.47172,0.41415,0.42008,0.24269,1.57875,2.08583,1.73196,0.00082925,0.00082925,0.00082925
172,467.526,0.64714,0.67354,0.96289,0.4255,0.45236,0.46314,0.27636,1.57828,1.9778,1.76528,0.000826775,0.000826775,0.000826775
173,470.311,0.66127,0.63397,0.97355,0.42571,0.47114,0.47677,0.28656,1.54116,1.94828,1.76939,0.0008243,0.0008243,0.0008243
174,472.967,0.63657,0.69493,0.97208,0.63227,0.44185,0.52038,0.31761,1.50048,1.88029,1.73251,0.000821825,0.000821825,0.000821825
175,475.608,0.61112,0.63506,0.97098,0.63668,0.47026,0.52213,0.32439,1.49312,1.8637,1.72144,0.00081935,0.00081935,0.00081935
176,478.289,0.58783,0.57348,0.92779,0.59324,0.47625,0.50142,0.31563,1.50178,1.86754,1.72936,0.000816875,0.000816875,0.000816875
177,480.923,0.65393,0.65951,0.95276,0.60515,0.4801,0.50039,0.30342,1.52958,1.90603,1.75633,0.0008144,0.0008144,0.0008144
178,483.617,0.63232,0.75295,0.94725,0.44896,0.52025,0.45598,0.28344,1.51256,2.01683,1.74905,0.000811925,0.000811925,0.000811925
179,486.249,0.64337,0.67247,1.00491,0.45961,0.51239,0.45696,0.29189,1.52618,1.99202,1.77166,0.00080945,0.00080945,0.00080945
180,488.92,0.70017,0.78796,1.02888,0.53603,0.52778,0.51606,0.32307,1.47854,1.84326,1.74301,0.000806975,0.000806975,0.000806975
181,491.581,0.66523,0.65756,0.97783,0.55161,0.53222,0.53047,0.33502,1.46789,1.77214,1.74635,0.0008045,0.0008045,0.0008045
182,494.263,0.65961,0.66345,0.97445,0.56341,0.52632,0.54961,0.33591,1.44896,1.71807,1.73159,0.000802025,0.000802025,0.000802025
